playerName,Season,School,Conf,position,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,spacer1,SOS,yearsInCollege,heightInCm,weightInKg,transferredSchools
Cody Martin,2018-19,Nevada,MWC,Forward,34,34,34.4,4.4,8.8,0.505,3.4,6,0.574,1,2.8,0.358,2.2,2.9,0.763,0.9,3.5,4.5,4.9,1.4,0.7,1.9,2.5,12.1,,2.68,4,201,92,1
Mamadi Diakite,2018-19,Virginia,ACC,Forward,38,22,21.8,3.2,5.8,0.55,3.1,5.3,0.571,0.1,0.4,0.294,0.9,1.3,0.7,1.5,2.9,4.4,0.3,0.4,1.7,0.9,2.1,7.4,,10.15,3,206,103,0
Justin Wright-Foreman,2018-19,Hofstra,CAA,Guard,35,35,37.7,9.4,18.5,0.511,6.3,11.1,0.568,3.1,7.4,0.425,5.1,5.9,0.864,0.3,3.7,4,2.9,0.9,0.2,2.6,1.9,27.1,,-4.53,4,188,86,0
Neemias Queta,2018-19,Utah State,MWC,Center,35,35,27.1,4.8,7.8,0.614,4.7,7.6,0.618,0.1,0.1,0.4,2.2,3.9,0.565,2.5,6.4,8.9,1.6,0.7,2.4,2.3,3.1,11.8,,0.89,1,211,102,0
Ignas Brazdeikis,2018-19,Michigan,Big Ten,Forward,37,37,29.6,5.1,11,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,,10.55,1,201,97,0
Marial Shayok,2018-19,Iowa State,Big 12,Guard,34,34,32.9,6.7,13.6,0.496,4.6,8.2,0.568,2.1,5.4,0.386,3.2,3.6,0.878,1.4,3.5,4.9,2,0.9,0.2,2.7,2.1,18.7,,9.3,4,198,89,1
Jalen McDaniels,2018-19,San Diego State,MWC,Forward,34,34,31,6.2,13.4,0.466,5.5,11.2,0.495,0.7,2.2,0.32,2.7,3.7,0.732,2,6.3,8.3,2.1,1.1,0.5,2.4,2.9,15.9,,2.47,2,208,88,0
Mfiondu Kabengele,2018-19,Florida State,ACC,Forward,37,0,21.6,4.4,8.8,0.502,3.8,7.1,0.534,0.6,1.8,0.369,3.7,4.9,0.761,2.1,3.8,5.9,0.3,0.6,1.5,1.3,2.6,13.2,,10.26,2,208,113,0
Jaylen Hoard,2018-19,Wake Forest,ACC,Forward,31,30,30.2,4.9,10.7,0.458,4.5,9,0.502,0.4,1.7,0.226,2.9,4.1,0.717,2.6,5,7.6,1.5,0.6,0.6,2.5,2.2,13.1,,8.47,1,203,97,0
Jalen Pickett,2018-19,Siena,MAAC,Guard,33,32,37.1,5.6,12.8,0.436,3.6,7.1,0.506,2,5.7,0.348,2.7,3.6,0.746,1.3,3.3,4.6,6.7,2,0.9,2.4,2.3,15.8,,-6.47,1,193,86,0
